Sector,Salary Paid,Taxable Benefits,Employer,Position,Calendar Year,ID
Crown Agencies,"$212,669.83","$11,372.64",Alcohol & Gaming Commission,Chief Executive Officer,2001,87c7b61f3621b32d179603908b2c547de0a07ec6fd7342482744aecc0555af12
Crown Agencies,"$179,223.72","$2,144.14",Alcohol & Gaming Commission,"Director, Legal Services",2001,572eba25af7b98b685f8910042f523e44d715425aaea637b6f1b17458a96a4bb
Crown Agencies,"$102,745.32","$1,019.59",Alcohol & Gaming Commission,Sr. Legal Counsel,2001,db720ddac0027f67edd1dd73311d82833d665abb9b857c0d23930bea7b347c0d
Crown Agencies,"$120,577.74","$1,120.02",Alcohol & Gaming Commission,Sr. Mgr. Electronic Gaming,2001,6a626a1a8948a3dfd07bfa5cf4cfca135538a50a8d833184a540e4c997e149cb
Crown Agencies,"$107,996.24",$0.00,Alcohol & Gaming Commission,"Sr. Mgr., Licensing & Registration",2001,db0592bd78511df8961e3857891690e607b82342c6c457f4a628c7f03a74b6ce
Crown Agencies,"$152,294.41","$1,864.91",Alcohol & Gaming Commission,"Director, Corporate Services",2001,fa580be55bad19b83c746ac8593a26d26d5711297be87dc98dd5fc7541302658
Crown Agencies,"$109,972.83","$1,012.40",Alcohol & Gaming Commission,Sr. Mgr. Liquor Licensing,2001,d91a80b8861f3a60620c96f315c0b2259ad55aacc356a16c76df9ee235d91a20
Crown Agencies,"$134,909.21","$1,387.38",Alcohol & Gaming Commission,Sr. Legal Counsel,2001,a4a0fcdd8951d5019c4d9e7124221a49fef938718b42bfe12fc045c87eb0d86b
Crown Agencies,"$105,490.81","$1,011.74",Alcohol & Gaming Commission,Sr. Mgr. Human Resources,2001,46e632b247251a1610fba4972e9c4ac1a191ec8e33be9ce08b716f1cf95e0ef1
Crown Agencies,"$134,116.80","$1,870.92",Alcohol & Gaming Commission,Chair,2001,eb2838c3bb23029e9006985a688cb6087a6908b730568734be5c07e85e1defac
Crown Agencies,"$122,946.17","$1,319.69",Alcohol & Gaming Commission,Sr. Legal Counsel,2001,daab05083c9d4f50bcab3da22f40eaafc84f4493c360949030a371789c70a217
